,Name,Address,Tel,Fax,Email,Schedule,Link
106,Apotheke Brückl,"Gewerbestr.8
9371 Brückl",+43-4214-29299,+43-4214-29300,info@apotheke-brueckl.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/sankt-veit-an-der-glan/1320-apotheke-brueckl
107,Rosen-Apotheke,"Längdorfer Straße 2
9184 Sankt Jakob im Rosental",+43-4253-8278,+43-4253-8278-20,rosenapotheke@aon.at,"{'Montag:': '8:00 - 12:15, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:15, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:15, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:15, 15:00 - 18:00', 'Freitag:': '8:00 - 12:15, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/980-rosen-apotheke
108,Sonnen-Apotheke,"Karawankenplatz 6
9220 Velden am Wörthersee",+43-4274-2601,+43-4274-2601-1,sonnen@apothekevelden.at,"{'Montag:': '8:00 - 19:00', 'Dienstag:': '8:00 - 19:00', 'Mittwoch:': '8:00 - 19:00', 'Donnerstag:': '8:00 - 19:00', 'Freitag:': '8:00 - 19:00', 'Samstag:': '8:00 - 19:00', 'Sonntag:': '9:00 - 12:00, 15:00 - 18:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/947-sonnen-apotheke
109,Wörtherseeapotheke,"Villacher Straße 29
9220 Velden am Wörthersee",+43-4274-52334,+43-4274-52334-20,info@woertherseeapotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/1000-woertherseeapotheke
110,Apotheke Wernberg,"Industriestraße 1
9241 Wernberg",+43-4252-24699,+43-4252-24699-4,apowernberg@baldrian.com,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:30 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/992-apotheke-wernberg
111,team santé Obere Apotheke,"10.-Oktober-Straße 4
9500 Villach",+43-4242-24128,+43-4242-24128-8,obereapotheke9500@teamsante.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 13:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/948-team-sant-obere-apotheke
112,Lind-Apotheke,"Genotteallee 24
9500 Villach",+43-4242-25654,+43-4242-25654-4,lind-apotheke@aon.at,"{'Montag:': '8:00 - 12:30, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:00 - 18:00', 'Freitag:': '8:00 - 12:30, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/962-lind-apotheke
113,St. Martin Apotheke,"St. Martiner Straße 44
9500 Villach",+43-4242-59512,+43-4242-59512-20,info@stmartin-apotheke.at,"{'Montag:': '8:00 - 13:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 13:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 13:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 13:00, 14:00 - 18:00', 'Freitag:': '8:00 - 13:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/kaernten/villach/986-st-martin-apotheke
114,Völkendorf-Apotheke,"Völkendorfer Straße 23
9500 Villach",+43-4242-55966,+43-4242-55966-4,voelkendorf.apo@aon.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/960-voelkendorf-apotheke
115,Flora-Apotheke,"Badstubenweg 93
9500 Villach",+43-4242-56130,+43-4242-56130-10,office@floraapotheke.at,"{'Montag:': '8:00 - 18:30', 'Dienstag:': '8:00 - 18:30', 'Mittwoch:': '8:00 - 18:30', 'Donnerstag:': '8:00 - 18:30', 'Freitag:': '8:00 - 18:30', 'Samstag:': '8:00 - 17:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/1001-flora-apotheke
116,St. Leonhard-Apotheke,"Ernst-Pliwa-Gasse 4
9500 Villach",+43-4242-42137,+43-4242-42137-4,office@apotheke-leonhard.at,"{'Montag:': '8:00 - 12:30, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:00 - 18:00', 'Freitag:': '8:00 - 12:30, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/955-st-leonhard-apotheke
117,Kreis-Apotheke zum Goldenen Löwen,"Hauptplatz 9
9500 Villach",+43-4242-24118,+43-4242-24118-4,office@kreis-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 13:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/951-kreis-apotheke-zum-goldenen-loewen
118,Sonnen Apotheke,"Kärntner Straße 11
9500 Villach",+43-4242-35350,+43-4242-353504, ,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:30 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/999-sonnen-apotheke
119,Wulfenia-Apotheke,"Italienerstraße 4
9500 Villach",+43-4242-24903,+43-4242-24903-5,wulfenia@pharmazie.co.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/950-wulfenia-apotheke
120,Drau-Apotheke,"Ossiacher Zeile 45
9500 Villach",+43-4242-28464,+43-4242-28464-30,pharmazie@drau-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/971-drau-apotheke
121,Marien-Apotheke,"Maria Gailer Straße 36
9500 Villach",+43-4242-31393,+43-4242-31393-3,office@marien-apotheke.or.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/994-marien-apotheke
122,Engel-Apotheke,"Bahnhofstraße 15
9500 Villach",+43-4242-24472,+43-4242-24472-4,office@engelapo-villach.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/949-engel-apotheke
123,Perau-Apotheke,"Ossiacher Zeile 11
9500 Villach",+43-4242-23529,+43-4242-23529-4,gesund@perauapotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/964-perau-apotheke
124,Gerlitzen Apotheke,"Eichrainweg 9
9521 Treffen",+43-4248-29628,+43-4248-29628-20,info@gerlitzenapotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/1298-gerlitzen-apotheke
125,Apotheke Landskron,"Ossiacher Straße 34
9523 Landskron",+43-4242-41988,+43-4242-41988-4,office@apolandskron.at,"{'Montag:': '8:00 - 12:30, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:00 - 18:00', 'Freitag:': '8:00 - 12:30, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/985-apotheke-landskron
126,Schutzengel-Apotheke,"Bad Bleiberg  93
9530 Bad Bleiberg",+43-4244-2237,+43-4244-2237-2,apotheke@vitaminothek.at,"{'Montag:': '8:00 - 12:15, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:15, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:15, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:15, 15:00 - 18:00', 'Freitag:': '8:00 - 12:15, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/917-schutzengel-apotheke
127,Elisabeth-Apotheke,"Dietrichsteinerstraße 7
9583 Faak am See",+43-4254-3402,+43-4254-3402-8,office@apothekefaak.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '9:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/982-elisabeth-apotheke
128,Fürnitz-Apotheke,"Oberrainerstraße 36
9586 Fürnitz",+43-4257-20700,+43-4257-20700-20,office@fuernitz-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 13:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/1354-fuernitz-apotheke
129,Mariahilf-Apotheke,"Apothekergasse 2
9601 Arnoldstein",+43-4255-2444,+43-4255-2444-4,apotheke.arnoldstein@aon.at,"{'Montag:': '8:00 - 12:00, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 15:00 - 18:00', 'Freitag:': '8:00 - 12:00, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/936-mariahilf-apotheke
130,Damian-Apotheke,"Villacher Straße 391
9710 Feistritz/Drau",+43-4245-2365,+43-4245-2365-17,paul.lugger@damian-apotheke.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/villach/935-damian-apotheke
131,Stadt-Apotheke,"Wiegelestraße 10
9100 Völkermarkt",+43-4232-4230,+43-4232-4230-4,office@stadt-apotheke.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/984-stadt-apotheke
132,Apotheke Zur Mariahilf,"Münzgasse 1
9100 Völkermarkt",+43-4232-2442,+43-4232-2442-4,apotheke@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/952-apotheke-zur-mariahilf
133,Burg-Apotheke,"Hauptplatz 15
9112 Griffen",+43-4233-2606,+43-4233-2606-4,office@burgapotheke.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00 ', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00 ', 'Samstag:': '8:00 - 12:00 '}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/941-burg-apotheke
134,Kanzianus-Apotheke,"Klopeinerstraße 2
9122 St. Kanzian",+43-4239-40380,+43-4239-40380-20,apotheke@kanzianus.at,"{'Montag:': '8:00 - 12:30, 14:45 - 18:15', 'Dienstag:': '8:00 - 12:30, 14:45 - 18:15', 'Mittwoch:': '8:00 - 12:30, 14:45 - 18:15', 'Donnerstag:': '8:00 - 12:30, 14:45 - 18:15', 'Freitag:': '8:00 - 12:30, 14:45 - 18:15', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/957-kanzianus-apotheke
135,Filialapotheke Kühnsdorf,"Fernando Colazzo-Platz 2
9125 Kühnsdorf",+43-4232-89440,+43-4232-89440-20,jauntal-apotheke@happynet.at,"{'Montag:': '8:00 - 12:30', 'Dienstag:': '8:00 - 12:30', 'Mittwoch:': '8:00 - 12:30', 'Donnerstag:': '8:00 - 12:30', 'Freitag:': '8:00 - 12:30', 'Samstag:': '8:00 - 12:30'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/974-filialapotheke-kuehnsdorf
136,Jauntal-Apotheke,"Bleiburger Straße 16
9141 Eberndorf",+43-4236-5110,+43-4236-511020,jauntal-apotheke@happynet.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:30', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:30', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:30', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:30', 'Freitag:': '8:00 - 12:30, 14:30 - 18:30', 'Samstag:': '8:00 - 12:15'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/975-jauntal-apotheke
137,Apotheke Bleiburg,"10.-Oktober-Platz 2
9150 Bleiburg",+43-4235-2036,+43-4235-2036-4,apotheke.bleiburg@aon.at,"{'Montag:': '8:00 - 12:30, 14:45 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:45 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:45 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:45 - 18:00', 'Freitag:': '8:00 - 12:30, 14:45 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/voelkermarkt/918-apotheke-bleiburg
138,team santé Barbara Apotheke,"Krankenhausstraße 16
9400 Wolfsberg",+43-4352-42620,+43-4352-4262-15,barbaraapotheke9400@teamsante.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00 ', 'Mittwoch:': '8:00 - 18:00 ', 'Donnerstag:': '8:00 - 18:00 ', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00 '}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/970-team-sant-barbara-apotheke
139,Apotheke Zum weißen Wolf,"Hoher Platz 7
9400 Wolfsberg",+43-4352-42060,+43-4352-4206-78,apotheke.weisser.wolf@utanet.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/954-apotheke-zum-weissen-wolf
140,Apotheke Zur Mariahilf,"Wiener Straße 2
9400 Wolfsberg",+43-4352-2611,+43-4352-2611-30,apotheke_zurmariahilf@hotmail.com,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/953-apotheke-zur-mariahilf
141,team santé Activa Apotheke,"Klagenfurter Straße 35
9400 Wolfsberg",+43-4352-37770,+43-4352-37770-70,activaapotheke9400@teamsante.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/997-team-sant-activa-apotheke
142,Paracelsus-Apotheke,"Packer Bundesstraße 26A
9413 Frantschach - St. Gertraud",+43-4352-37072,+43-4352-37072-3,paracelsus_apotheke@aon.at,"{'Montag:': '7:30 - 12:30, 15:00 - 18:00', 'Dienstag:': '7:30 - 12:30, 15:00 - 18:00', 'Mittwoch:': '7:30 - 12:30, 15:00 - 18:00', 'Donnerstag:': '7:30 - 12:30, 15:00 - 18:00', 'Freitag:': '7:30 - 12:30, 15:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/988-paracelsus-apotheke
143,Stadt-Apotheke,"St. Andrä  66
9433 St. Andrä",+43-4358-3050,+43-4358-3050-13,apo-st.andrae@aon.at,"{'Montag:': '7:30 - 12:30, 14:30 - 18:15', 'Dienstag:': '7:30 - 12:30, 14:30 - 18:15', 'Mittwoch:': '7:30 - 12:30, 14:30 - 18:15', 'Donnerstag:': '7:30 - 12:30, 14:30 - 18:15', 'Freitag:': '7:30 - 12:30, 14:30 - 18:15', 'Samstag:': '7:30 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/967-stadt-apotheke
144,Loretto Apotheke,"Nr.8
9433 St.Andrä im Lavanttal",+43-4358-24443,+43-4358-24443-20,post@apo-st-andrae.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/1278-loretto-apotheke
145,Stadtapotheke Zum heiligen Leonhard,"Hauptplatz 10
9462 Bad St. Leonhard im Lavanttal",+43-4350-2308,+43-4350-2308-2,office@apothekeleonhard.at,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 12:30, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/939-stadtapotheke-zum-heiligen-leonhard
146,Apotheke Zur Mariahilf,"Lobisserplatz 5
9470 Sankt Paul im Lavanttal",+43-4357-2014,+43-4357-2014-20,post@apo-st-paul.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '8:30 - 12:00'}",http://www.apothekenindex.at/apotheken/kaernten/wolfsberg/940-apotheke-zur-mariahilf
147,Stadion-Apotheke,"Ybbsstraße 35
3300 Amstetten",+43-7472-65865,+43-7472-65865-20,info@stadion-apotheke.at,"{'Montag:': '7:30 - 12:00, 14:30 - 18:00', 'Dienstag:': '7:30 - 12:00, 14:30 - 18:00', 'Mittwoch:': '7:30 - 12:00, 14:30 - 18:00', 'Donnerstag:': '7:30 - 12:00, 14:30 - 18:00', 'Freitag:': '7:30 - 12:00, 14:30 - 18:00', 'Samstag:': '7:30 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/540-stadion-apotheke
148,Stadt-Apotheke Zum guten Hirten,"Hauptplatz 17-19
3300 Amstetten",+43-7472-62233,+43-7472-63622-10,info@stadt-apo.at,"{'Montag:': '7:30 - 12:00, 14:30 - 18:00', 'Dienstag:': '7:30 - 12:00, 14:30 - 18:00', 'Mittwoch:': '7:30 - 12:00, 14:30 - 18:00', 'Donnerstag:': '7:30 - 12:00, 14:30 - 18:00', 'Freitag:': '7:30 - 12:00, 14:30 - 18:00', 'Samstag:': '7:30 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/353-stadt-apotheke-zum-guten-hirten
149,CCA-Apotheke,"Waidhofner Straße 1
3300 Amstetten",+43-7472-62637,,info@cca-apotheke.at,"{'Montag:': '9:00 - 18:30', 'Dienstag:': '9:00 - 18:30', 'Mittwoch:': '9:00 - 18:30', 'Donnerstag:': '9:00 - 18:30', 'Freitag:': '9:00 - 19:00', 'Samstag:': '9:00 - 19:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/1418-cca-apotheke
150,Mariahilf-Apotheke,"Wiener Straße 21
3300 Amstetten",+43-7472-62711,+43-7472-61288,a.weissenegger@aon.at,"{'Montag:': '7:30 - 12:00, 14:30 - 18:00', 'Dienstag:': '7:30 - 12:00, 14:30 - 18:00', 'Mittwoch:': '7:30 - 12:00, 14:30 - 18:00', 'Donnerstag:': '7:30 - 12:00, 14:30 - 18:00', 'Freitag:': '7:30 - 12:00, 14:30 - 18:00', 'Samstag:': '7:30 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/352-mariahilf-apotheke
151,Elias Apotheke,"Reichsstraße 24a
3300 Amstetten",+43-7472-28107,+43-7472-28107-20,elias.apo@a1.net,"{'Montag:': '7:30 - 12:00, 14:30 - 18:00', 'Dienstag:': '7:30 - 12:00, 14:30 - 18:00', 'Mittwoch:': '7:30 - 12:00, 14:30 - 18:00', 'Donnerstag:': '7:30 - 12:00, 14:30 - 18:00', 'Freitag:': '7:30 - 12:00, 14:30 - 18:00', 'Samstag:': '7:30 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/1331-elias-apotheke
152,Apotheke an der Eisenstraße,"1. Straße 16
3331 Kematen",+43-7448-59977,+43-7448-59977-34,w.rapatz@apotheke-rosenau.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/488-apotheke-an-der-eisenstrasse
153,Apotheke Rosenau,"Waidhofner Straße 43
3332 Rosenau/Sonntagberg",+43-7448-2525,+43-7448-2525-34,info@apotheke-rosenau.at,"{'Montag:': '8:00 - 12:00, 14:00 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:00 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:00 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:00 - 18:00', 'Freitag:': '8:00 - 12:00, 14:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/489-apotheke-rosenau
154,St. Michael-Apotheke,"Höllriglstraße 1
3350 Haag",+43-7434-42218,+43-7434-42218-16,st.michael-apotheke@gmx.at,"{'Montag:': '8:00 - 12:30, 15:00 - 18:00', 'Dienstag:': '8:00 - 12:30, 15:00 - 18:00', 'Mittwoch:': '8:00 - 12:30, 15:00 - 18:00', 'Donnerstag:': '8:00 - 12:30, 15:00 - 18:00', 'Freitag:': '8:00 - 12:30, 15:00 - 18:00', 'Samstag:': '9:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/377-st-michael-apotheke
155,Apotheke St. Peter/Au,"Betriebsgebiet-West 5
3352 St. Peter/Au",+43-7477-49040,+43-7477-49040-9,apotheke-stpeter@aon.at,"{'Montag:': '8:00 - 18:00', 'Dienstag:': '8:00 - 18:00', 'Mittwoch:': '8:00 - 18:00', 'Donnerstag:': '8:00 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/562-apotheke-st-peterau
156,Linden-Apotheke,"Steyrer Straße 8a
3353 Seitenstetten",+43-7477-423100,+43-7477-42310-14,office@apotheke-seitenstetten.at,"{'Montag:': '8:00 - 12:00, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:00, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:00, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:00, 14:30 - 18:00', 'Freitag:': '8:00 - 12:00, 14:30 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/432-linden-apotheke
157,Apotheke Zum heiligen Martin,"Martinusstraße 12
3361 Aschbach-Markt",+43-7476-77880,+43-7476-77880-4,info@apotheke-aschbach.com,"{'Montag:': '8:00 - 12:30, 14:30 - 18:00', 'Dienstag:': '8:00 - 12:30, 14:30 - 18:00', 'Mittwoch:': '8:00 - 12:30, 14:30 - 18:00', 'Donnerstag:': '8:00 - 12:30, 14:30 - 18:00', 'Freitag:': '8:00 - 18:00', 'Samstag:': '8:00 - 12:00'}",http://www.apothekenindex.at/apotheken/niederoesterreich/amstetten/554-apotheke-zum-heiligen-martin
